time;V(/V2in);V(/Vl);
0.000141944;-0.285808;-2.63883;
0.000142258;-0.442385;-2.71141;
0.000142572;-0.598525;-2.78131;
0.000142886;-0.754076;-2.84847;
0.0001432;-0.908883;-2.91283;
0.000143514;-1.06279;-2.97431;
0.000143828;-1.21566;-3.03286;
0.000144142;-1.36732;-3.08842;
0.000144456;-1.51764;-3.14094;
0.00014477;-1.66646;-3.19036;
0.000145084;-1.81364;-3.23663;
0.000145398;-1.95903;-3.27971;
0.000145712;-2.10248;-3.31956;
0.000146026;-2.24387;-3.35614;
0.00014634;-2.38304;-3.38941;
0.000146654;-2.51987;-3.41934;
0.000146968;-2.65421;-3.44589;
0.000147282;-2.78593;-3.46905;
0.000147596;-2.91491;-3.48879;
0.00014791;-3.04101;-3.50509;
0.000148224;-3.16411;-3.51793;
0.000148538;-3.2841;-3.5273;
0.000148852;-3.40084;-3.5332;
0.000149166;-3.51424;-3.53562;
0.00014948;-3.62417;-3.53454;
0.000149794;-3.73053;-3.52999;
0.000150108;-3.8332;-3.52195;
0.000150422;-3.9321;-3.51044;
0.000150736;-4.02713;-3.49547;
0.00015105;-4.11818;-3.47706;
0.000151364;-4.20517;-3.45521;
0.000151678;-4.28802;-3.42996;
0.000151992;-4.36664;-3.40133;
0.000152306;-4.44096;-3.36935;
0.00015262;-4.51089;-3.33404;
0.000152934;-4.57638;-3.29545;
0.000153248;-4.63736;-3.2536;
0.000153562;-4.69376;-3.20855;
0.000153876;-4.74554;-3.16034;
0.00015419;-4.79264;-3.10901;
0.000154504;-4.83502;-3.05462;
0.000154818;-4.87262;-2.99721;
0.000155132;-4.90543;-2.93685;
0.000155446;-4.9334;-2.87359;
0.00015576;-4.9565;-2.80751;
0.000156074;-4.97472;-2.73865;
0.000156388;-4.98803;-2.66709;
0.000156702;-4.99643;-2.59291;
0.000157016;-4.9999;-2.51616;
0.00015733;-4.99844;-2.43694;
0.000157644;-4.99205;-2.35531;
0.000157958;-4.98074;-2.27137;
0.000158272;-4.96452;-2.18518;
0.000158586;-4.94341;-2.09684;
0.0001589;-4.91742;-2.00643;
0.000159214;-4.88659;-1.91404;
0.000159528;-4.85093;-1.81977;
0.000159842;-4.8105;-1.7237;
0.000160156;-4.76532;-1.62593;
0.00016047;-4.71544;-1.52656;
0.000160784;-4.66092;-1.42569;
0.000161098;-4.6018;-1.32341;
0.000161412;-4.53814;-1.21982;
0.000161726;-4.47001;-1.11503;
0.00016204;-4.39747;-1.00915;
0.000162354;-4.3206;-0.902263;
0.000162668;-4.23947;-0.794492;
0.000162982;-4.15415;-0.685936;
0.000163296;-4.06475;-0.576705;
0.00016361;-3.97133;-0.466905;
0.000163924;-3.874;-0.356645;
0.000164238;-3.77285;-0.246033;
0.000164552;-3.66798;-0.135179;
0.000164866;-3.5595;-0.0241914;
0.00016518;-3.4475;0.0868201;
0.000165494;-3.33211;0.197746;
0.000165808;-3.21343;0.308477;
0.000166122;-3.09158;0.418904;
0.000166436;-2.96669;0.528918;
0.00016675;-2.83887;0.63841;
0.000167064;-2.70825;0.747273;
0.000167378;-2.57496;0.855399;
0.000167692;-2.43914;0.962682;
0.000168006;-2.3009;1.06902;
0.00016832;-2.1604;1.1743;
0.000168634;-2.01777;1.27842;
0.000168948;-1.87316;1.38128;
0.000169262;-1.72669;1.48278;
0.000169576;-1.57852;1.58282;
0.00016989;-1.4288;1.6813;
0.000170204;-1.27766;1.77812;
0.000170518;-1.12527;1.87318;
0.000170832;-0.97177;1.9664;
0.000171146;-0.81731;2.05769;
0.00017146;-0.662044;2.14694;
0.000171774;-0.506126;2.23408;
0.000172088;-0.349708;2.31901;
0.000172402;-0.192946;2.40166;
0.000172716;-0.0359934;2.48194;
0.00017303;0.120995;2.55977;
0.000173344;0.277863;2.63508;
0.000173658;0.434458;2.70779;
0.000173972;0.590624;2.77783;
0.000174286;0.746208;2.84514;
0.0001746;0.901057;2.90964;
0.000174914;1.05502;2.97127;
0.000175228;1.20794;3.02997;
0.000175542;1.35967;3.08568;
0.000175856;1.51005;3.13835;
0.00017617;1.65895;3.18793;
0.000176484;1.80622;3.23436;
0.000176798;1.9517;3.27761;
0.000177112;2.09526;3.31762;
0.000177426;2.23676;3.35437;
0.00017774;2.37604;3.3878;
0.000178054;2.51299;3.4179;
0.000178368;2.64746;3.44463;
0.000178682;2.77932;3.46796;
0.000178996;2.90844;3.48787;
0.00017931;3.03469;3.50434;
0.000179624;3.15795;3.51736;
0.000179938;3.27809;3.52691;
0.000180252;3.39501;3.53299;
0.000180566;3.50857;3.53558;
0.00018088;3.61868;3.53468;
0.000181194;3.72522;3.5303;
0.000181508;3.82809;3.52244;
0.000181822;3.92718;3.51111;
0.000182136;4.02241;3.49631;
0.00018245;4.11366;3.47807;
0.000182764;4.20086;3.4564;
0.000183078;4.28392;3.43132;
0.000183392;4.36276;3.40286;
0.000183706;4.43729;3.37105;
0.00018402;4.50745;3.33591;
0.000184334;4.57317;3.29748;
0.000184648;4.63438;3.2558;
0.000184962;4.69102;3.21091;
0.000185276;4.74303;3.16286;
0.00018559;4.79037;3.11169;
0.000185904;4.83298;3.05745;
0.000186218;4.87083;3.00019;
0.000186532;4.90388;2.93998;
0.000186846;4.9321;2.87687;
0.00018716;4.95545;2.81092;
0.000187474;4.97391;2.7422;
0.000187788;4.98748;2.67078;
0.000188102;4.99612;2.59673;
0.000188416;4.99984;2.52011;
0.00018873;4.99863;2.44101;
0.000189044;4.99249;2.35951;
0.000189358;4.98143;2.27568;
0.000189672;4.96546;2.1896;
0.000189986;4.9446;2.10137;
0.0001903;4.91886;2.01106;
0.000190614;4.88826;1.91877;
0.000190928;4.85286;1.82459;
0.000191242;4.81266;1.72861;
0.000191556;4.76772;1.63093;
0.00019187;4.71808;1.53164;
0.000192184;4.66379;1.43083;
0.000192498;4.6049;1.32862;
0.000192812;4.54148;1.2251;
0.000193126;4.47357;1.12037;
0.00019344;4.40125;1.01454;
0.000193754;4.3246;0.907703;
0.000194068;4.24368;0.799974;
0.000194382;4.15858;0.691456;
0.000194696;4.06938;0.582256;
0.00019501;3.97616;0.472483;
0.000195324;3.87903;0.362243;
0.000195638;3.77807;0.251647;
0.000195952;3.67339;0.140802;
0.000196266;3.56508;0.0298183;
0.00019658;3.45326;-0.0811945;
0.000196894;3.33804;-0.192127;
0.000197208;3.21952;-0.302871;
0.000197522;3.09783;-0.413316;
0.000197836;2.97309;-0.523353;
0.00019815;2.84542;-0.632874;
0.000198464;2.71494;-0.741772;
0.000198778;2.58178;-0.849938;
0.000199092;2.44608;-0.957266;
0.000199406;2.30797;-1.06365;
0.00019972;2.16758;-1.16899;
0.000200034;2.02505;-1.27317;
0.000200348;1.88053;-1.3761;
0.000200662;1.73416;-1.47767;
0.000200976;1.58607;-1.57778;
0.00020129;1.43642;-1.67634;
0.000201604;1.28536;-1.77325;
0.000201918;1.13302;-1.86841;
0.000202232;0.979574;-1.96172;
0.000202546;0.825159;-2.05311;
0.00020286;0.669931;-2.14246;
0.000203174;0.514042;-2.22971;
0.000203488;0.357646;-2.31476;
0.000203802;0.200897;-2.39752;
0.000204116;0.0439508;-2.47793;
0.00020443;-0.113039;-2.55589;
0.000204744;-0.269917;-2.63132;
0.000205058;-0.42653;-2.70417;
0.000205372;-0.582722;-2.77435;
0.000205686;-0.738339;-2.84179;
0.000206;-0.893228;-2.90643;
0.000206314;-1.04724;-2.96821;
0.000206628;-1.20021;-3.02706;
0.000206942;-1.35201;-3.08293;
0.000207256;-1.50247;-3.13576;
0.00020757;-1.65145;-3.18549;
0.000207884;-1.7988;-3.23209;
0.000208198;-1.94437;-3.27549;
0.000208512;-2.08803;-3.31567;
0.000208826;-2.22964;-3.35258;
0.00020914;-2.36904;-3.38619;
0.000209454;-2.50611;-3.41645;
0.000209768;-2.64071;-3.44335;
0.000210082;-2.7727;-3.46686;
0.000210396;-2.90196;-3.48694;
0.00021071;-3.02836;-3.50359;
0.000211024;-3.15177;-3.51678;
0.000211338;-3.27208;-3.52651;
0.000211652;-3.38916;-3.53276;
0.000211966;-3.5029;-3.53553;
0.00021228;-3.61319;-3.53481;
0.000212594;-3.71991;-3.53061;
0.000212908;-3.82297;-3.52292;
0.000213222;-3.92225;-3.51177;
0.000213536;-4.01767;-3.49715;
0.00021385;-4.10913;-3.47908;
0.000214164;-4.19654;-3.45758;
0.000214478;-4.27981;-3.43268;
0.000214792;-4.35887;-3.40439;
0.000215106;-4.43362;-3.37274;
0.00021542;-4.504;-3.33777;
0.000215734;-4.56995;-3.29951;
0.000216048;-4.63138;-3.25799;
0.000216362;-4.68826;-3.21327;
0.000216676;-4.74051;-3.16537;
0.00021699;-4.78808;-3.11435;
0.000217304;-4.83094;-3.06027;
0.000217618;-4.86903;-3.00317;
0.000217932;-4.90232;-2.9431;
0.000218246;-4.93078;-2.88014;
0.00021856;-4.95438;-2.81433;
0.000218874;-4.9731;-2.74575;
0.000219188;-4.98691;-2.67447;
0.000219502;-4.9958;-2.60054;
0.000219816;-4.99977;-2.52406;
0.00022013;-4.99881;-2.44508;
0.000220444;-4.99292;-2.3637;
0.000220758;-4.98211;-2.27998;
0.000221072;-4.96639;-2.19401;
0.000221386;-4.94577;-2.10589;
0.0002217;-4.92028;-2.01568;
0.000222014;-4.88993;-1.92349;
0.000222328;-4.85477;-1.82941;
0.000222642;-4.81481;-1.73352;
0.000222956;-4.77011;-1.63592;
0.00022327;-4.72071;-1.53671;
0.000223584;-4.66666;-1.43598;
0.000223898;-4.608;-1.33384;
0.000224212;-4.5448;-1.23038;
0.000224526;-4.47712;-1.12571;
